state_name,state_abbreviation,state_FIPS,county_name,county_FIPS
Colorado,CO,8000,Delta County,08029
Colorado,CO,8000,Denver County,08031
Colorado,CO,8000,Dolores County,08033
Colorado,CO,8000,Douglas County,08035
Colorado,CO,8000,Eagle County,08037
Colorado,CO,8000,Elbert County,08039
Colorado,CO,8000,El Paso County,08041
Colorado,CO,8000,Fremont County,08043
Colorado,CO,8000,Garfield County,08045
Colorado,CO,8000,Gilpin County,08047
Colorado,CO,8000,Grand County,08049
Colorado,CO,8000,Gunnison County,08051
Colorado,CO,8000,Hinsdale County,08053
Colorado,CO,8000,Huerfano County,08055
Colorado,CO,8000,Jackson County,08057
Colorado,CO,8000,Jefferson County,08059
Colorado,CO,8000,Kiowa County,08061
Colorado,CO,8000,Kit Carson County,08063
Colorado,CO,8000,Lake County,08065
Colorado,CO,8000,La Plata County,08067
Colorado,CO,8000,Larimer County,08069
Colorado,CO,8000,Las Animas County,08071
Colorado,CO,8000,Lincoln County,08073
Colorado,CO,8000,Logan County,08075
Colorado,CO,8000,Mesa County,08077
Colorado,CO,8000,Mineral County,08079
Colorado,CO,8000,Moffat County,08081
Colorado,CO,8000,Montezuma County,08083
Colorado,CO,8000,Montrose County,08085
Colorado,CO,8000,Morgan County,08087
Colorado,CO,8000,Otero County,08089
Colorado,CO,8000,Ouray County,08091
Colorado,CO,8000,Park County,08093
Colorado,CO,8000,Phillips County,08095
Colorado,CO,8000,Pitkin County,08097
Colorado,CO,8000,Prowers County,08099
Colorado,CO,8000,Pueblo County,08101
Colorado,CO,8000,Rio Blanco County,08103
Colorado,CO,8000,Rio Grande County,08105
Colorado,CO,8000,Routt County,08107
Colorado,CO,8000,Saguache County,08109
Colorado,CO,8000,San Juan County,08111
Colorado,CO,8000,San Miguel County,08113
Colorado,CO,8000,Sedgwick County,08115
Colorado,CO,8000,Summit County,08117
Colorado,CO,8000,Teller County,08119
Colorado,CO,8000,Washington County,08121
Colorado,CO,8000,Weld County,08123
Colorado,CO,8000,Yuma County,08125
Connecticut,CT,9000,Fairfield County,09001
Connecticut,CT,9000,Hartford County,09003
Connecticut,CT,9000,Litchfield County,09005
Connecticut,CT,9000,Middlesex County,09007
Connecticut,CT,9000,New Haven County,09009
Connecticut,CT,9000,New London County,09011
Connecticut,CT,9000,Tolland County,09013
Connecticut,CT,9000,Windham County,09015
Delaware,DE,10000,Kent County,10001
Delaware,DE,10000,New Castle County,10003
Delaware,DE,10000,Sussex County,10005
District of Columbia,DC,11000,District of Columbia,11000
Florida,FL,12000,Alachua County,12001
Florida,FL,12000,Baker County,12003
Florida,FL,12000,Bay County,12005
Florida,FL,12000,Bradford County,12007
Florida,FL,12000,Brevard County,12009
Florida,FL,12000,Broward County,12011
Florida,FL,12000,Calhoun County,12013
Florida,FL,12000,Charlotte County,12015
